37.41, -24.50
39.09, -23.11
40.86, -21.73
42.70, -20.33
44.63, -18.96
46.81, -17.49
49.11, -16.07
51.32, -14.74
53.84, -13.35
56.68, -11.87
59.68, -10.43
62.83, -9.01
66.15, -7.63
69.65, -6.32
73.60, -4.95
78.06, -3.60
83.41, -2.21
90.10, -0.90
97.70, 0.13
105.93, 1.03
114.86, 1.75
124.55, 2.28
135.04, 2.68
146.43, 2.89
158.77, 2.92
172.15, 2.87
186.66, 2.61
202.40, 2.19
219.46, 1.62
237.95, 0.84
258.01, -0.09
279.76, -1.00
303.34, -1.53
328.91, -1.71
356.63, -1.54
386.69, -1.11
419.29, -0.69
454.63, -0.49
492.95, -0.28
534.50, -0.06
579.56, 0.10
628.41, 0.29
681.38, 0.47
738.81, 0.63
801.09, 0.81
868.61, 0.95
941.83, 1.03
1021.22, 1.07
1107.30, 1.00
1200.63, 0.84
1301.83, 0.80
1411.57, 1.35
1502.66, 2.54
1570.47, 3.96
1635.32, 5.48
1696.59, 6.96
1760.17, 8.36
1846.38, 9.76
1980.04, 10.93
2146.94, 11.17
2327.91, 10.64
2524.13, 9.65
2736.89, 8.60
2967.59, 7.40
3205.91, 6.05
3463.38, 4.59
3755.31, 4.29
3997.64, 5.65
4193.46, 7.19
4480.51, 7.92
4858.18, 6.28
5248.34, 5.89
5505.41, 4.32
5628.27, 2.71
5847.76, 0.78
6046.82, 0.22
6331.35, 2.18
6448.87, 3.64
6544.46, 4.99
6641.47, 6.37
6764.75, 7.98
7122.25, 9.89
7498.65, 8.67
7665.99, 7.29
7837.06, 5.87
8011.96, 4.44
8190.75, 3.15
8404.40, 1.74
8687.29, 0.32
9112.81, -1.17
9772.50, -2.22
10596.23, -2.08
11489.39, -1.11
12321.12, -1.59
13164.55, -3.08
14014.06, -4.24
14700.50, -5.62
15307.52, -6.98
15706.80, -8.42
15998.36, -10.00
16295.33, -11.59
16536.87, -13.41
16761.42, -15.48
16968.21, -17.14
17283.18, -19.03
17604.00, -20.74
17996.85, -22.68
18398.47, -24.44
